Year,Month,GMSL
1991,3,5
1991,4,1.4
1991,5,-1
1991,6,-1.4
1991,7,1
1991,8,3.6
1991,9,3.8
1991,10,4.1
1991,11,4
1991,12,2.9
1992,1,5
1992,2,6
1992,3,4.6
1992,4,3.1
1992,5,0.6
1992,6,1
1992,7,0.3
1992,8,0.6
1992,9,2.2
1992,10,5.5
1992,11,5.1
1992,12,4
1993,1,2.7
1993,2,3.8
1993,3,6.3
1993,4,8.3
1993,5,8.6
1993,6,4.3
1993,7,0.6
1993,8,-2.4
1993,9,-5.3
1993,10,-4.1
1993,11,-5.2
1993,12,-0.6
1994,1,3.4
1994,2,4
1994,3,6
1994,4,5.1
1994,5,7.4
1994,6,6.4
1994,7,9
1994,8,8.3
1994,9,8
1994,10,7.6
1994,11,5.9
1994,12,7.8
1995,1,8.6
1995,2,9.7
1995,3,10.4
1995,4,8.6
1995,5,7.7
1995,6,6.6
1995,7,7.9
1995,8,7.3
1995,9,8.6
1995,10,10.1
1995,11,12.5
1995,12,16.3
1996,1,16.2
1996,2,16.1
1996,3,11.1
1996,4,8.4
1996,5,7.5
1996,6,7.1
1996,7,13
1996,8,15.6
1996,9,20.7
1996,10,18.1
1996,11,16
1996,12,14.2
1997,1,16.5
1997,2,19.2
1997,3,22.8
1997,4,23.1
1997,5,22.7
1997,6,22.2
1997,7,17.6
1997,8,17.7
1997,9,16.9
1997,10,22.1
1997,11,22
1997,12,23.9
1998,1,20.4
1998,2,16.4
1998,3,11.5
1998,4,7.1
1998,5,6.5
1998,6,7.2
1998,7,9.5
1998,8,10.1
1998,9,11.6
1998,10,9.9
1998,11,8.9
1998,12,8.9
1999,1,12.5
1999,2,15.8
1999,3,20.7
1999,4,19.9
1999,5,21.9
1999,6,21.3
1999,7,23.2
1999,8,22.7
1999,9,22.2
